Id ;Heure;Débit;Total;Pression;Densité
186;05:07:44;73;222;97;
187;05:07:48;74;227;98;
188;05:07:52;73;232;97;
189;05:07:56;73;237;98;
190;05:08:00;73;242;98;
191;05:08:04;72;248;98;
192;05:08:08;72;253;99;
193;05:08:12;73;258;99;
194;05:08:16;73;263;100;
195;05:08:20;73;268;100;
196;05:08:24;73;273;99;
197;05:08:28;72;278;100;
198;05:08:32;73;283;100;
199;05:08:36;73;288;100;
200;05:08:40;73;292;100;
201;05:08:44;74;297;100;
202;05:08:48;72;302;101;
203;05:08:52;70;307;100;
204;05:08:56;68;312;100;
205;05:09:00;69;316;100;
206;05:09:04;68;321;100;
207;05:09:08;68;326;101;
208;05:09:12;69;330;100;
209;05:09:16;68;335;101;
210;05:09:20;66;339;101;
211;05:09:24;68;344;101;
212;05:09:28;68;348;102;
213;05:09:32;69;353;101;
214;05:09:36;68;357;101;
215;05:09:40;65;362;102;
216;05:09:44;65;366;101;
217;05:09:48;64;371;103;
218;05:09:52;64;375;102;
219;05:09:56;64;380;102;
220;05:10:00;64;384;103;
221;05:10:04;64;389;102;
222;05:10:08;63;393;103;
223;05:10:12;64;398;103;
224;05:10:16;61;402;102;
225;05:10:20;61;406;103;
226;05:10:24;64;411;104;
227;05:10:28;64;416;104;
228;05:10:32;63;420;105;
229;05:10:36;63;425;104;
230;05:10:40;61;430;105;
231;05:10:44;61;434;104;
232;05:10:48;61;439;104;
233;05:10:52;59;443;105;
234;05:10:56;54;447;104;
235;05:11:00;50;452;105;
236;05:11:04;48;456;105;
237;05:11:08;44;461;104;
238;05:11:12;40;465;105;
239;05:11:16;36;469;106;
240;05:11:20;34;474;105;
241;05:11:24;30;478;105;
242;05:11:28;25;483;106;
243;05:11:32;21;487;105;
244;05:11:36;16;491;106;
245;05:11:40;12;496;106;
246;05:11:44;10;500;106;
247;05:11:48;8;505;106;
248;05:11:52;4;509;106;
249;05:11:56;0;512;104;
250;05:12:00;0;512;91;
251;05:12:04;0;512;95;
252;05:12:08;0;512;93;
253;05:12:12;0;512;92;
254;05:12:16;0;512;93;
255;05:12:20;0;512;91;
256;05:12:24;0;512;92;
257;05:12:28;0;512;90;
258;05:12:32;0;512;91;
259;05:12:36;0;512;90;
260;05:12:40;0;512;90;
261;05:12:44;0;512;89;
262;05:12:48;0;512;89;
263;05:12:52;0;512;89;
264;05:12:56;0;512;88;
265;05:13:00;0;512;88;
266;05:13:04;0;512;88;
267;05:13:08;0;512;87;
268;05:13:12;0;512;87;
269;05:13:16;0;512;87;
270;05:13:20;0;512;87;
271;05:13:24;0;512;86;
272;05:13:28;0;512;86;
273;05:13:32;0;512;86;
274;05:13:36;0;512;86;
275;05:13:40;0;512;86;
276;05:13:44;0;512;85;
277;05:13:48;0;512;85;
278;05:13:52;0;512;85;
279;05:13:56;0;512;85;
280;05:14:00;0;512;85;
281;05:14:04;0;512;84;
282;05:14:08;0;512;84;
283;05:14:12;0;512;84;
284;05:14:16;0;512;85;
285;05:14:20;0;512;85;
286;05:14:24;0;512;84;
287;05:14:28;0;512;88;
288;05:14:32;0;512;84;
289;05:14:36;0;512;84;
290;05:14:40;0;512;84;
291;05:14:44;0;512;92;
292;05:14:48;0;512;84;
293;05:14:52;0;512;90;
294;05:14:56;0;512;97;
295;05:15:00;0;512;83;
296;05:15:04;0;512;88;
297;05:15:08;0;512;88;
298;05:15:12;0;512;126;
299;05:15:16;0;512;126;
300;05:15:20;0;512;85;
301;05:15:24;0;512;100;
302;05:15:28;0;512;82;
303;05:15:32;0;512;82;
304;05:15:36;0;512;83;
305;05:15:40;0;512;101;
306;05:15:44;0;512;81;
307;05:15:48;0;512;82;
308;05:15:52;0;512;109;
309;05:15:56;0;512;131;
310;05:16:00;0;512;149;
311;05:16:04;0;512;135;
312;05:16:08;0;512;101;
313;05:16:12;0;512;86;
314;05:16:16;0;512;82;
315;05:16:20;0;512;81;
316;05:16:24;0;512;81;
317;05:16:28;0;512;80;
318;05:16:32;0;512;80;
319;05:16:36;0;512;80;
320;05:16:40;0;512;80;
321;05:16:44;0;512;80;
322;05:16:48;0;512;80;
323;05:16:52;0;512;80;
324;05:16:56;0;512;79;
325;05:17:00;0;512;79;
326;05:17:04;0;512;79;
327;05:17:08;0;512;79;
328;05:17:12;0;512;79;
329;05:17:16;0;512;12;
330;05:17:20;0;512;58;
331;05:17:24;0;512;43;
332;05:17:28;0;512;8;
333;05:17:32;0;512;0;
334;05:17:36;0;512;0;
335;05:17:40;0;512;0;
336;05:17:44;0;512;0;
337;05:17:48;0;512;0;
338;05:17:52;0;512;0;
339;05:17:56;0;512;0;
340;05:18:00;0;512;50;
341;05:18:04;0;512;40;
342;05:18:08;0;512;62;
343;05:18:12;0;512;68;
344;05:18:16;0;512;76;
345;05:18:20;0;512;108;
346;05:18:24;0;512;78;
347;05:18:28;0;512;79;
348;05:18:32;0;512;102;
349;05:18:36;0;512;77;
350;05:18:40;0;512;115;
351;05:18:44;0;512;146;
352;05:18:48;0;512;178;
353;05:18:52;0;512;105;
354;05:18:56;0;512;87;
355;05:19:00;0;512;84;
356;05:19:04;0;512;76;
357;05:19:08;0;512;77;
358;05:19:12;0;512;97;
359;05:19:16;0;512;91;
360;05:19:20;0;512;142;
361;05:19:24;0;512;144;
362;05:19:28;0;512;161;
363;05:19:32;0;512;173;
364;05:19:36;0;512;144;
365;05:19:40;0;512;99;
366;05:19:44;0;512;76;
367;05:19:48;0;512;76;
368;05:19:52;0;512;115;
369;05:19:56;0;512;156;
370;05:20:00;0;512;206;
371;05:20:04;0;512;200;
372;05:20:08;0;512;168;
373;05:20:12;0;512;142;
374;05:20:16;0;512;119;
375;05:20:20;0;512;96;
376;05:20:24;0;512;79;
377;05:20:28;0;512;75;
378;05:20:32;0;512;75;
379;05:20:36;0;512;94;
380;05:20:40;0;512;123;
381;05:20:44;0;512;101;
382;05:20:48;0;512;107;
383;05:20:52;0;512;149;
384;05:20:56;0;512;118;
385;05:21:00;0;512;91;
386;05:21:04;0;512;77;
387;05:21:08;0;512;75;
388;05:21:12;0;512;75;
389;05:21:16;0;512;74;
390;05:21:20;0;512;74;
391;05:21:24;0;512;74;
392;05:21:28;0;512;74;
393;05:21:32;0;512;74;
394;05:21:36;0;512;74;
395;05:21:40;0;512;74;
396;05:21:44;0;512;74;
397;05:21:48;0;512;74;
398;05:21:52;0;512;74;
399;05:21:56;0;512;74;
400;05:22:00;0;512;74;
401;05:22:04;0;512;74;
402;05:22:08;0;512;74;
403;05:22:12;0;512;74;
404;05:22:16;0;512;74;
405;05:22:20;0;512;74;
406;05:22:24;0;512;74;
407;05:22:28;0;512;74;
408;05:22:32;0;512;73;
409;05:22:36;0;512;73;
410;05:22:40;0;512;73;
411;05:22:44;0;512;73;
412;05:22:48;0;512;142;
413;05:22:52;0;512;138;
414;05:22:56;0;512;133;
415;05:23:00;0;512;128;
416;05:23:04;0;512;123;
417;05:23:08;0;512;119;
418;05:23:12;0;512;114;
419;05:23:16;0;512;110;
420;05:23:20;0;512;106;
421;05:23:24;0;512;102;
422;05:23:28;0;512;99;
423;05:23:32;0;512;95;
424;05:23:36;0;512;92;
425;05:23:40;0;512;89;
426;05:23:44;0;512;86;
427;05:23:48;0;512;84;
428;05:23:52;0;512;82;
429;05:23:56;0;512;80;
430;05:24:00;0;512;78;
431;05:24:04;0;512;76;
432;05:24:08;0;512;169;
433;05:24:12;0;512;209;
434;05:24:16;0;512;176;
435;05:24:20;0;512;166;
436;05:24:24;0;512;156;
437;05:24:28;0;512;147;
438;05:24:32;0;512;138;
439;05:24:36;0;512;129;
440;05:24:40;0;512;120;
441;05:24:44;0;512;112;
442;05:24:48;0;512;105;
443;05:24:52;0;512;98;
444;05:24:56;0;512;92;
445;05:25:00;0;512;87;
446;05:25:04;0;512;83;
447;05:25:08;0;512;79;
448;05:25:12;0;512;77;
449;05:25:16;0;512;75;
450;05:25:20;0;512;73;
451;05:25:24;0;512;72;
452;05:25:28;0;512;71;
453;05:25:32;0;512;70;
454;05:25:36;0;512;70;
455;05:25:40;0;512;150;
456;05:25:44;0;512;147;
457;05:25:48;0;512;264;
458;05:25:52;0;512;251;
459;05:25:56;0;512;237;
460;05:26:00;0;512;222;
461;05:26:04;0;512;206;
462;05:26:08;0;512;194;
463;05:26:12;0;512;180;
464;05:26:16;0;512;168;
465;05:26:20;0;512;160;
466;05:26:24;0;512;152;
467;05:26:28;0;512;143;
468;05:26:32;0;512;134;
469;05:26:36;0;512;125;
470;05:26:40;0;512;116;
471;05:26:44;0;512;108;
472;05:26:48;0;512;101;
473;05:26:52;0;512;95;
474;05:26:56;0;512;88;
475;05:27:00;0;512;83;
476;05:27:04;0;512;79;
477;05:27:08;0;512;76;
478;05:27:12;0;512;74;
479;05:27:16;0;512;73;
480;05:27:20;0;512;72;
