Heure;Débit;Total;Pression;Densité
05:03:33;0;14;61;
05:03:34;0;14;61;
05:03:36;0;14;61;
05:03:38;0;14;61;
05:03:40;0;14;61;
05:03:42;0;14;61;
05:03:44;0;14;61;
05:03:46;0;14;61;
05:03:48;0;14;61;
05:03:50;0;14;61;
05:03:52;0;14;61;
05:03:54;0;14;61;
05:03:56;0;14;61;
05:03:58;2,515151515;14;61;
05:04:00;3,757575758;14;61;
05:04:02;6,272727273;14;61;
05:04:04;6,272727273;14;61;
05:04:06;8,787878788;14;61;
05:04:08;11,3030303;14;61;
05:04:10;13,81818182;14;61;
05:04:12;16,33333333;14;61;
05:04:14;18,84848485;14;61;
05:04:16;21,36363636;14;61;
05:04:18;22,60606061;14;61;
05:04:20;25,12121212;14;61;
05:04:22;26,36363636;14;61;
05:04:24;28,87878788;14;61;
05:04:26;31,39393939;16;28;
05:04:28;32,63636364;16;59;
05:04:30;33,87878788;16;69;
05:04:32;35,12121212;16;59;
05:04:34;37,63636364;16;57;
05:04:36;40,15151515;16;63;
05:04:38;42,66666667;16;62;
05:04:40;45,18181818;16;59;
05:04:42;47,6969697;16;60;
05:04:44;50,21212121;16;62;
05:04:46;51,45454545;16;61;
05:04:48;55,24242424;16;60;
05:04:50;59,03030303;16;60;
05:04:52;61,54545455;16;61;
05:04:54;64,06060606;16;61;
05:04:56;66,57575758;16;61;
05:04:58;69,09090909;16;61;
05:05:00;71,60606061;16;61;
05:05:02;74,12121212;17;63;
05:05:04;74,12121212;19;76;
05:05:06;76,66666667;22;77;
05:05:08;76,66666667;23;75;
05:05:10;79,18181818;25;76;
05:05:12;79,18181818;27;76;
05:05:14;79,18181818;29;71;
05:05:16;79,18181818;32;75;
05:05:19;77,90909091;33;77;
05:05:21;77,90909091;36;77;
05:05:23;77,90909091;38;77;
05:05:25;79,18181818;40;77;
05:05:27;79,18181818;42;76;
05:05:29;79,18181818;44;76;
05:05:31;79,18181818;46;77;
05:05:33;79,18181818;48;78;
05:05:35;80,45454545;50;79;
05:05:37;81,72727273;52;79;
05:05:39;81,72727273;55;82;
05:05:41;81,72727273;58;87;
05:05:42;81,72727273;60;87;
05:05:44;81,72727273;63;87;
05:05:46;81,72727273;66;87;
05:05:48;81,72727273;69;87;
05:05:50;81,72727273;72;88;
05:05:52;83;75;88;
05:05:54;81,72727273;78;89;
